title,page,composer,text_author,is_new_arrangement
Jesus Shall Reign,6,"John Hatton, arr. Bill Wolaver",Isaac Watts,no
"Come, Thou Fount of Every Blessing",9,"Traditional American melody, arr. Carol Tornquist",Robert Robinson,no
'Tis So Sweet to Trust in Jesus,12,"William J. Kirkpatrick, arr. Bill Wolaver",Louisa M. R. Stead,no
"The Lord's My Shepherd, I'll Not Want",15,"Jessie S. Irvine, arr. Carol Tornquist","Scottish Psalter, 1650 (Psalm 23)",no
O Worship the King,18,"William Gardiner (Sacred Melodies, 1815), arr. Bill Wolaver",Robert Grant,no
"Brethren, We Have Met to Worship",20,"William Moore, arr. Carol Tornquist",George Atkins,no
When Morning Gilds the Skies,23,"Joseph Barnby, arr. Bill Wolaver","Katholisches Gesangbuch, Würzburg, 1828",no
My Faith Looks Up to Thee,26,"Lowell Mason, arr. Carol Tornquist",Ray Palmer,no
There Is Power in the Blood,29,"Lewis E. Jones, arr. Bill Wolaver",Lewis E. Jones,no
Tell Me the Story of Jesus,34,"John R. Sweney, arr. Carol Tornquist",Fanny J. Crosby,no
Wonderful Words of Life,41,"Philip P. Bliss, arr. Carol Tornquist",Philip P. Bliss,no
All Hail the Power of Jesus' Name,44,"Oliver Holden, arr. Bill Wolaver",Edward Perronet,no
More Love to Thee,49,"William H. Doane, arr. Carol Tornquist",Elizabeth P. Prentiss,no
The Old Rugged Cross,52,"George Bennard, arr. Bill Wolaver",George Bennard,no
He Hideth My Soul,54,"William J. Kirkpatrick, arr. Carol Tornquist",Fanny J. Crosby,no
"O the Deep, Deep Love of Jesus",56,"Thomas J. Williams, arr. Bill Wolaver",Samuel Trevor Francis,no
"O Sacred Head, Now Wounded",60,"Hans Leo Hassler, arr. Carol Tornquist",Paul Gerhardt,no
"Immortal, Invisible",62,"Traditional Welsh melody, arr. Bill Wolaver",Walter Chalmers Smith,no
Be Still and Know,64,"Anonymous, arr. Carol Tornquist",Anonymous,no
Jesus Loves Me,68,"William B. Bradbury, arr. Bill Wolaver",Anna B. Warner,no
The Church's One Foundation,72,"Samuel S. Wesley, arr. Carol Tornquist",Samuel J. Stone,no
How Firm a Foundation,78,"Traditional American melody, arr. Carol Tornquist",Rippon's Selection of Hymns,no
Let Us Break Bread Together,80,"Traditional Spiritual, arr. Bill Wolaver",Traditional Spiritual,no
O How I Love Jesus,82,"Traditional American melody, arr. Carol Tornquist",Frederick Whitfield,no
"America, the Beautiful",85,"Samuel A. Ward, arr. Bill Wolaver",Katharine Lee Bates,no
Faith of Our Fathers,88,"Henri F. Hemy, arr. Carol Tornquist",Frederick W. Faber,no
"Spirit of God, Descend upon My Heart",90,"Frederick C. Atkinson, arr. Bill Wolaver",George Croly,no
I Need Thee Every Hour,94,"Robert Lowry, arr. Bill Wolaver",Annie S. Hawks,no
"Nearer, My God, to Thee",99,"Lowell Mason, arr. Carol Tornquist",Sarah F. Adams,no
"Come, Ye Thankful People, Come",102,"George J. Elvey, arr. Carol Tornquist",Henry Alford,no
